lift,drag,mach,aoa
0.3383442440742626,-0.0015341605815285958,0.16,0.8
0.45333940468864203,-0.002058541060946273,0.185,0.8
0.5855837693926826,-0.0026647432726839837,0.21,0.8
0.7352190384568066,-0.0033546678961828835,0.235,0.8
0.902750834292745,-0.004130385984742524,0.26,0.8
1.0884252571559334,-0.0049953163814642765,0.285,0.8
1.2926113068788092,-0.005952770959466669,0.31,0.8
1.515704118971406,-0.007007644209078401,0.335,0.8
1.7582969621316122,-0.008162682656640052,0.36,0.8
2.0207999611116687,-0.009424630234350917,0.385,0.8
2.3038481054683735,-0.010798502644274288,0.41,0.8
2.6081052528870368,-0.012291032650630695,0.435,0.8
2.9343181683236046,-0.013909570144545191,0.46,0.8
3.2833026055175583,-0.015662543420361885,0.485,0.8
3.655979237348008,-0.01755898123597266,0.51,0.8
4.0533350090123506,-0.019609417956272912,0.535,0.8
4.476596479306154,-0.02182670928181074,0.56,0.8
4.9270131160969415,-0.02422404459878824,0.585,0.8
5.406034069979067,-0.026817145404845144,0.61,0.8
5.915337388133495,-0.02962421177593444,0.635,0.8
